cond,item,layer,ent,log_T,log_I,log_F
kable,0,18,0.06615372530320543,-6.729771995115517,-7.106982774025255,-7.584715800008397
kable,0,19,0.06833099201611265,-6.601853650839914,-6.73324121432661,-7.535022690642803
kable,0,20,0.2944207705799042,-3.836578476873364,-2.650197926376135,-4.547692547630826
kable,0,21,0.32439536139575337,-3.4472277959871747,-2.2523927885592516,-4.234002129368274
kable,0,22,0.01765172107358843,-6.167219977382072,-2.943937784053975,-6.254448245093191
kable,0,23,0.0326230842903337,-6.103449253400823,-1.2293042894058588,-6.434590651503435
kable,0,24,0.09287673367007601,-5.739280985804643,-0.38048867256884444,-6.093808274208043
kable,0,25,0.09383159995594131,-5.670932848382257,-0.5104053954522889,-5.8204302444607245
kable,0,26,0.12451376142947253,-5.672593225288527,-0.7848298862521379,-5.567978244120182
kable,0,27,0.0326527631244068,-6.208571435751788,-1.4995223341371366,-6.533971606962201
kable,0,28,0.12663917954792595,-5.502983018140772,-0.5133569285286104,-5.903784397734286
kable,0,29,0.07039411601076506,-5.929485404682335,-0.9871413188661122,-6.325281152909959
kable,0,30,0.09376508827573415,-5.0042255849054476,-1.6250313383009634,-5.34190161100292
kable,1,18,0.010909450955622338,-7.51954618760273,-7.213146562723284,-6.934203219964833
kable,1,19,0.008767473290471839,-7.839462531992352,-7.343927036256504,-7.547972017726525
kable,1,20,0.06870616261105401,-5.856230351931202,-4.534120132104039,-5.4824596329196
kable,1,21,0.23583803883875798,-4.751410380155238,-3.5765270361288297,-4.363608958547414
kable,1,22,0.15887814233151432,-4.6236371802001734,-2.798748024945158,-3.9647631118679096
kable,1,23,0.16650402170441536,-4.105380378454808,-2.1058408982802486,-3.796758657321175
kable,1,24,0.2137600570916696,-4.053683744916706,-1.8712754461863885,-3.7222898395359607
kable,1,25,0.22692482114529866,-4.465911353635198,-2.2294098583787556,-3.874409066219041
kable,1,26,0.14824324038335504,-5.1160667972572496,-2.7946485582308798,-4.284685877206259
kable,1,27,0.16015007865427536,-4.3291703538091175,-1.9485660415604324,-3.923111973059642
kable,1,28,0.0743781810091899,-4.932494724877147,-1.9215123600760957,-4.721155266632455
kable,1,29,0.014841193544240591,-5.609328620544673,-2.7787445142018417,-5.457524910848256
kable,1,30,0.035596168870731755,-5.338385221435519,-2.4764665598914894,-5.123673017694694
kable,2,18,0.14133416327055404,-6.615884765667903,-6.221297146155858,-5.966876780587393
kable,2,19,0.09882566655384134,-7.341420262617256,-6.843754786045921,-7.054199296676168
kable,2,20,0.26863882427844327,-5.481633999202767,-4.107747035111744,-4.853493495794803
kable,2,21,0.35394838849619353,-5.077754608584422,-3.7988585550026257,-3.9960460556492072
kable,2,22,0.09001162621068372,-6.298827035250199,-4.451212211063664,-5.035915083035191
kable,2,23,0.09681331157435787,-5.474942972489208,-4.210956003326273,-4.933863146248856
kable,2,24,0.12180593667655767,-5.211412191217311,-3.647081501666708,-4.7233785717511125
kable,2,25,0.21685429445847873,-4.891624889175175,-3.09067203467316,-4.102742062315811
kable,2,26,0.23532552176813273,-4.840863481298105,-2.91134183658548,-3.850784345376251
kable,2,27,0.19999120845153928,-4.537842877131777,-2.977175892978388,-4.052843915923481
kable,2,28,0.012795581525120999,-5.812056746316204,-3.589203505496066,-5.46436167204812
kable,2,29,0.004183268368299339,-6.568025771423192,-4.289644886124256,-6.426976408496427
kable,2,30,0.006122193363658578,-6.29918544262903,-4.074232990392267,-6.271988873772245
kable,3,18,0.11771607770634755,-5.787805453973634,-6.604210630385054,-6.687554532363862
kable,3,19,0.1429977133802973,-6.349139396233932,-7.040730881051104,-7.5431657509033565
kable,3,20,0.21585160041122944,-5.0073612325434995,-4.732583405356873,-6.2479258403641165
kable,3,21,0.23240420901210598,-4.676484578900575,-4.165686616207418,-5.65637538772032
kable,3,22,0.13551214092938568,-5.281906119660192,-3.725110460653278,-5.6501365950898625
kable,3,23,0.18069030766802152,-4.667104969455108,-2.763407673907979,-5.119390174569451
kable,3,24,0.1734327519583308,-4.588303858190944,-2.2042263481114994,-5.122218095483683
kable,3,25,0.16579188322682586,-4.846277048714823,-2.3446539707789427,-5.141242160180439
kable,3,26,0.16997848209721897,-4.73730442483802,-2.1483758157180066,-4.994522433368518
kable,3,27,0.1356806608566859,-4.652965600927905,-1.9902246788210216,-5.059978860069162
kable,3,28,0.06215585608432495,-4.785672776461678,-2.0739717525854755,-5.5792879339368415
kable,3,29,0.025124957531871803,-5.5032869466546375,-2.679929516904058,-6.228118272168504
kable,3,30,0.03469877458786179,-5.284849290487231,-2.6886627907270246,-5.797189650106456
kable,4,18,0.19704569392701124,-6.12963437265856,-5.846548426175389,-5.925481636677547
kable,4,19,0.1861598689642716,-6.606036261351703,-5.706905627608461,-6.438934266341554
kable,4,20,0.22951189615473544,-5.234322853845921,-2.9648971757792033,-5.175825606986977
kable,4,21,0.31537929098429374,-4.739482689022677,-2.4540433453665296,-4.743838281647494
kable,4,22,0.22238149089414944,-4.928040645705861,-1.9467275127425236,-4.16647412388066
kable,4,23,0.24310046944868605,-4.7897767117936985,-0.858191133177067,-4.33345684331051
kable,4,24,0.2423792529088435,-4.772744787251168,-0.5946115533743437,-4.162077183987182
kable,4,25,0.19257168706033995,-5.406477455808538,-1.4147256413615867,-4.539887855207478
kable,4,26,0.06722060873566689,-6.073203145734221,-2.2293159272870406,-5.258749913899907
kable,4,27,0.08215061926767221,-5.799532033253433,-2.1647671907777286,-5.282468453601993
kable,4,28,0.04247421887488613,-6.706068541545757,-3.1007858944963367,-6.1518503685688195
kable,4,29,0.06446747523969937,-6.730692298168992,-3.157070926033892,-6.344853481974857
kable,4,30,0.06762480801804538,-6.1742343363605565,-2.952671723485972,-5.660944913392993
kable,5,18,0.09631564951469218,-5.314474279790928,-5.60597955446085,-5.476349244164144
kable,5,19,0.09960009435710167,-5.14633962483909,-4.825332803228879,-5.438547254061847
kable,5,20,0.268807948770143,-4.015400616361004,-2.1545177272442246,-4.086841283830737
kable,5,21,0.24236029069847137,-3.6559349440943407,-2.4746931053159646,-3.5540532560090528
kable,5,22,0.11750783885762513,-4.244709910781883,-2.000059308759516,-3.7682944732918724
kable,5,23,0.17420033762799025,-4.154623598351457,-1.4419329520239785,-3.67138305221225
kable,5,24,0.11508583871803735,-5.1336865905551745,-1.9772458489384708,-4.5251897165349195
kable,5,25,0.1700949615048592,-4.8736817553174445,-1.4090792740800215,-4.041734124064665
kable,5,26,0.1512250479643747,-5.27566872581446,-1.8675982070461434,-4.340418452915688
kable,5,27,0.12366054832906884,-5.0862942168330125,-1.8090929361608643,-4.237089404294876
kable,5,28,0.022695407534485304,-5.751610015792829,-2.2393497753668057,-5.030780747935851
kable,5,29,0.005698530466306758,-6.792071651293241,-2.934447800848571,-6.122632278103022
kable,5,30,0.030718586478602098,-6.021234463977857,-2.527356594007505,-5.401956042283943
kable,6,18,0.14205807635954362,-6.3057159227367805,-6.0853290969416935,-6.516274743124171
kable,6,19,0.12314387607772945,-7.005625053688352,-6.5233591458679845,-7.141352842279427
kable,6,20,0.29483481082723034,-4.9031062370510465,-4.074209147844772,-5.172557439196264
kable,6,21,0.33809229566112214,-4.288906727721863,-3.8991175005163226,-4.740044183803489
kable,6,22,0.3284826773569814,-4.653662132114906,-3.0273477918602665,-4.50780396681581
kable,6,23,0.232743993397155,-5.02037701569997,-2.0895892330377945,-4.789710457170308
kable,6,24,0.2180468409196969,-5.384427113149465,-2.116565361690192,-5.256925176968679
kable,6,25,0.24527841749607524,-5.251793635758674,-1.8779652442607073,-5.01643285755378
kable,6,26,0.14406998031479254,-5.400909829477939,-2.301449924946805,-5.190635459650347
kable,6,27,0.17354573832721826,-4.9234475890861376,-1.7185633859607872,-4.943229204105345
kable,6,28,0.05266888758320364,-5.349662776570638,-1.627378643783769,-5.582242892187737
kable,6,29,0.019867580346863995,-6.1137431781321805,-2.405693689917669,-6.43336130623396
kable,6,30,0.014030112824727029,-6.174673263311361,-2.8866818828034457,-6.217600226315287
kable,7,18,0.15100591736020066,-6.814981007581619,-7.080626985706104,-6.871456374732378
kable,7,19,0.16779504498893258,-7.065286212158896,-6.770474115310605,-7.162893250728388
kable,7,20,0.31565754414823644,-5.416138495145286,-4.412022636164458,-5.246747919200072
kable,7,21,0.33277708061569466,-4.835445818862867,-4.213969077407941,-4.698306327743147
kable,7,22,0.27793119021674234,-4.803195470437225,-2.092053795966328,-4.150630730764635
kable,7,23,0.3056117182354539,-4.503523894770867,-0.6750077118220155,-4.012646136718549
kable,7,24,0.3203928379906227,-4.448201008479041,-0.6610515169383161,-3.953275905838671
kable,7,25,0.27461378222016875,-4.782300152685384,-0.7930100404994076,-4.165748214679846
kable,7,26,0.13591266004593536,-5.343418844305231,-1.797740688413806,-4.762485563050336
kable,7,27,0.15337363145521596,-4.94531139424349,-1.5059130418109634,-4.614361241930335
kable,7,28,0.18116311541348484,-4.508855417600418,-0.9077115273753423,-4.734652546781945
kable,7,29,0.1116086146022645,-4.936573432182834,-1.4425361360086717,-5.288663928202953
kable,7,30,0.0694497768224596,-5.024653499960464,-2.267303844310109,-5.319404490250953
kable,8,18,0.14710319506229175,-5.815854781764572,-5.102215129951823,-5.561968784823896
kable,8,19,0.18106882255968085,-6.197435231370707,-4.473624629608581,-5.930299748880682
kable,8,20,0.39236697826139455,-4.9565319418282145,-1.7927773075412685,-4.561662159276859
kable,8,21,0.42026537977417955,-5.074198661401479,-1.8200937583861279,-4.411438804221544
kable,8,22,0.23940491121834487,-5.771642556326424,-2.185457818766847,-4.904757293696165
kable,8,23,0.07415564853073604,-6.325410598393724,-2.4978393956035787,-5.6639418807755195
kable,8,24,0.09967819831976305,-6.861948414570424,-2.7450043140168803,-6.220855257764236
kable,8,25,0.11117159131149638,-6.765360886899892,-2.6674325377337933,-5.98080615566615
kable,8,26,0.11893764325874252,-6.830340098511655,-2.720163076984283,-5.942354711103989
kable,8,27,0.005886658552251218,-8.336220945646819,-4.4793424136133435,-7.66745114709292
kable,8,28,0.03662295912761892,-6.874235205271872,-2.86531199898259,-6.451150378832908
kable,8,29,0.06523248431346564,-6.8567416446658305,-2.6014134948711476,-6.432366960817973
kable,8,30,0.05452618139047139,-6.544072604560368,-2.4663196078846057,-6.088860415530537
kable,9,18,0.06667600656869588,-5.940483069794183,-5.38967157404988,-6.890434641011902
kable,9,19,0.11268594836220333,-5.88415473783132,-5.486626468892851,-6.924599352584919
kable,9,20,0.35097669537354037,-4.312683972545286,-2.8401741929390933,-5.058350864166599
kable,9,21,0.4080944044382323,-4.054397929576111,-2.446461131271322,-4.794179738441022
kable,9,22,0.23818200218950653,-4.362316674120593,-1.7866407151488892,-4.8881649816437935
kable,9,23,0.1663804602566665,-4.378758039259256,-1.2423714241501385,-4.774965280861925
kable,9,24,0.16977870715008977,-4.413967176429022,-1.4192753671701073,-5.002695222995603
kable,9,25,0.06280724543602331,-5.53772448230065,-2.516497836070002,-5.892773184739465
kable,9,26,0.14847053740505273,-5.32179585110198,-2.483489700260403,-5.713204407289045
kable,9,27,0.0834417193222719,-5.548030946096099,-2.5464260982757017,-6.072135534709228
kable,9,28,0.13410043507521255,-4.982360921373858,-1.5900307573571073,-5.771703612454821
kable,9,29,0.027979353165693305,-5.4875222468019915,-2.0292455398538434,-6.260549467335568
kable,9,30,0.035655948774331585,-5.359483016770205,-2.5798354539958646,-6.055070814411139
kable,10,18,0.13672529056148897,-6.914480910972674,-7.611358256520705,-7.602156647308137
kable,10,19,0.09015042651980451,-7.392749265356395,-7.641154801011426,-8.188279535789615
kable,10,20,0.22561871253957444,-5.661368152224977,-4.630221917927267,-6.176177490060528
kable,10,21,0.2790845071658141,-5.143450869573128,-4.307579702747374,-5.634964721733132
kable,10,22,0.2179310716353196,-4.928667143103715,-4.086171236468163,-5.355782174667875
kable,10,23,0.3910709073439544,-4.42944167976808,-2.7043761453458766,-5.1377139109850685
kable,10,24,0.21184733048672236,-5.254276487669396,-3.338560905391164,-5.9578082671923625
kable,10,25,0.20273218828382444,-5.33888377286068,-3.166736711699471,-5.905397883559796
kable,10,26,0.08256177104064513,-8.116369343106802,-6.3841899171114775,-8.78989561576902
kable,10,27,0.07052802222712787,-6.539387359694141,-4.6221085547608,-7.3440195247345725
kable,10,28,0.014944506882735785,-7.279952736208612,-4.735434073496436,-8.018148540841445
kable,10,29,0.0014351778570661769,-8.10052015097718,-5.6717749271801425,-8.94120070137852
kable,10,30,0.0023342078524942592,-7.150608638611431,-4.885884863532293,-8.002086918474912
kable,11,18,0.12108892329873082,-5.558070548856698,-5.985265421276141,-5.778946890436143
kable,11,19,0.13852263173247129,-5.827434685277534,-5.961860191614332,-5.910646481368553
kable,11,20,0.1652741265980715,-5.222604075574253,-4.128162672558866,-5.223896957300583
kable,11,21,0.07187692055757343,-5.235724381181733,-4.559420913468596,-5.41723158839348
kable,11,22,0.034936685073462086,-6.45168102868082,-4.570217938115084,-6.229657762965595
kable,11,23,0.03136480824412363,-6.525201902896869,-3.8029622917181585,-6.226651609607175
kable,11,24,0.036914071280376694,-7.254269384793607,-4.149815011475066,-6.904585152952571
kable,11,25,0.024476984448843733,-7.6576050234472754,-4.020948718257283,-7.075280699731618
kable,11,26,0.0648838713689316,-7.424436256730428,-4.201952971482715,-6.827720737407546
kable,11,27,0.028810348524414758,-7.150389571423896,-3.463574843858152,-6.484120995455327
kable,11,28,0.007222466384101688,-7.777266588071109,-3.884771006914901,-7.432287894879938
kable,11,29,0.02435590843251512,-7.500560724480775,-3.6417418159579262,-7.3381482878388455
kable,11,30,0.07420114440086475,-6.360211147608855,-3.079059153319316,-6.197225479522902
kable,12,18,0.030801678097559487,-5.43802964077163,-6.66361254408299,-5.310793313592902
kable,12,19,0.09273682019475929,-5.628195600718836,-6.259160970241466,-5.984374708146571
kable,12,20,0.08311338327577246,-4.556656293942185,-3.2726841432475693,-4.521088189435658
kable,12,21,0.020831561880491054,-4.7495085921849975,-3.8880684694711314,-4.82997723810107
kable,12,22,0.013146792657133907,-5.649004166108576,-3.6971728732700635,-5.556409888496063
kable,12,23,0.05573103505553685,-4.922680449702605,-1.9461265777533125,-4.565249456309095
kable,12,24,0.04209856846692927,-5.102589744532783,-2.1980016717039996,-4.770257301216252
kable,12,25,0.09885790998848223,-5.657321860372556,-2.5570299041078677,-4.980798725814398
kable,12,26,0.11637950097413977,-6.091153640900119,-3.1408979763953586,-5.5338877567963385
kable,12,27,0.12616566167919968,-5.792278839577346,-2.7281636839851133,-5.311233539431739
kable,12,28,0.03715313331721417,-5.8802196128632795,-2.4871005817556324,-5.802525430294239
kable,12,29,0.013643451907597219,-6.3916197366562075,-3.053245156708598,-6.407224269030251
kable,12,30,0.022838461385988416,-5.912649809012923,-3.1210652415912663,-5.953095699736532
kable,13,18,0.23023061766689742,-4.79135852643409,-4.860832887358086,-4.916890520452403
kable,13,19,0.18362211873282716,-5.622448047621488,-5.166925777744884,-5.729881171888055
kable,13,20,0.3671204073226168,-4.800677008657837,-3.784015195495148,-4.491737472161514
kable,13,21,0.29088786896181396,-4.9898282780712355,-4.004067341492587,-4.733982145078516
kable,13,22,0.24133387469573628,-5.109308178155612,-4.058918636077873,-5.0116304743331135
kable,13,23,0.36696176194717534,-4.512293854008023,-3.482895389337419,-4.484733662604988
kable,13,24,0.1406937088574787,-6.3009317746065765,-4.979293117803476,-5.9896541659103795
kable,13,25,0.15036579881623616,-6.496959875004011,-4.931392277558179,-6.055253319198473
kable,13,26,0.1159590120398854,-7.508116752964671,-6.091784306101289,-6.948676560770091
kable,13,27,0.222617520512729,-5.906815155577021,-4.279371834002216,-5.505990345271875
kable,13,28,0.15097865438466054,-5.366215659311265,-3.2369966052767536,-5.290618494911017
kable,13,29,0.025971489236034807,-6.127727930559199,-3.7791701900574464,-6.071524539392317
kable,13,30,0.040945318691679694,-5.659186325118595,-3.628668451895892,-5.469806892987799
kable,14,18,0.22946203398616577,-4.189536579387433,-4.762237789149682,-4.335735942380141
kable,14,19,0.1436003681240124,-5.5476568281322916,-5.666627185546061,-5.596954746860691
kable,14,20,0.15055066117484395,-5.3693486995267365,-3.667938730256145,-5.029547855758013
kable,14,21,0.2180687203932032,-4.535991370359679,-3.0624521503466307,-4.348522208537829
kable,14,22,0.3016980562007918,-4.829332169903122,-2.46017656587889,-4.287879774686208
kable,14,23,0.257068517260327,-4.582851425883811,-1.8017279126144636,-4.627277721932672
kable,14,24,0.123123819893682,-5.597796971928011,-2.763360408486732,-5.909715825758075
kable,14,25,0.16548432308389713,-5.270076899713089,-2.4929936727848734,-5.365266247819246
kable,14,26,0.21987577297961908,-4.9057195574235255,-2.048319764265013,-4.830657016652955
kable,14,27,0.14418623900844565,-5.208656324983487,-2.346293570524292,-5.401745004139609
kable,14,28,0.010386680280856089,-5.976947389807839,-2.72035348841423,-6.443315357173396
kable,14,29,0.002286917781570751,-6.904666759323576,-3.5294808696732196,-7.262603073992086
kable,14,30,0.006959641607672096,-6.35815213551715,-3.1524790475163442,-6.613699761333271
kable,15,18,0.09950610858362759,-5.8596893088767175,-6.277297102052761,-6.974298541232681
kable,15,19,0.10532116403981104,-6.323165842881915,-6.29689331634317,-7.389155843441337
kable,15,20,0.03019286495379059,-5.7858873683192495,-3.5500575865899817,-6.6875595821251625
kable,15,21,0.19131870335169074,-4.19347247078003,-1.7591758871597722,-4.6697829484445315
kable,15,22,0.2627272016547624,-3.917704331913885,-0.8949499236036793,-4.137430217054575
kable,15,23,0.12752612350331854,-4.448882150700916,-0.1303128505471873,-4.429019262506977
kable,15,24,0.051379582029281876,-5.013975260601979,-0.033677545249513004,-4.8570454617450025
kable,15,25,0.12754890502529398,-5.051555950231968,-0.13024667094528689,-4.80421492086294
kable,15,26,0.15926525547241122,-5.010013814423547,-0.1976032792927653,-4.689547333978898
kable,15,27,0.07757339982323896,-5.168847431101214,-0.13111770086771324,-5.036573560421347
kable,15,28,0.03439269466808582,-6.219388330917818,-0.9755420915542536,-6.360314279920388
kable,15,29,0.012816415006253553,-6.628411414802082,-1.6407370455744417,-6.8310227175951255
kable,15,30,0.007400863262325753,-6.8341204878730215,-2.231110299081634,-6.752824079409715
kable,16,18,0.05559442269376669,-6.479812517732443,-5.928344331977998,-6.071094239328246
kable,16,19,0.07821816295719342,-6.767805971665902,-5.309485134270649,-6.388654008331155
kable,16,20,0.07695557819010425,-6.172903154234083,-2.623643651433886,-5.589924855235397
kable,16,21,0.16061668721557856,-5.340994700886697,-1.9419613440641375,-4.589646943127536
kable,16,22,0.25866946136780916,-4.846971822139846,-0.5865322538818944,-3.674173988317175
kable,16,23,0.04729986150808905,-5.823015069214824,-0.033524195338152867,-4.78325233393439
kable,16,24,0.014211419768890036,-6.568400599497586,-0.006479858715866508,-5.5228740428115035
kable,16,25,0.022412008375951524,-6.484417372070102,-0.011167290529011912,-5.192757869818375
kable,16,26,0.03142238580598237,-6.323261944949364,-0.016327911050483857,-5.002039810284526
kable,16,27,0.020716869776333524,-6.171495936584484,-0.012195856975984515,-5.336651880474408
kable,16,28,0.04349595670072019,-6.277978659191343,-0.07453280091683812,-5.707792638081603
kable,16,29,0.06605198095327089,-6.404251169853929,-0.3357562901616319,-5.925470158327174
kable,16,30,0.05566063209177408,-5.975704103650475,-0.8935869361724476,-5.581213967349912
kable,17,18,0.1812106360945389,-5.422270473103056,-5.477989120288538,-5.327348381064768
kable,17,19,0.19657008407353746,-5.317147094179228,-5.0733586087348295,-5.18913821974684
kable,17,20,0.06734999991155394,-6.206817531016451,-5.80016639166154,-6.150637084593561
kable,17,21,0.0077649369817513955,-7.906687575837746,-7.446356825959169,-8.08934874365225
kable,17,22,0.04956892124898955,-8.479755219633516,-7.751195276255315,-8.350817400653696
kable,17,23,0.0007775330931199436,-11.125785496724513,-10.156680863896097,-10.87900364922789
kable,17,24,0.0004367144111394024,-10.233088442988848,-9.098724455710055,-9.451016193433805
kable,17,25,0.0014387340212187905,-8.835934678734619,-7.646821381984304,-8.161542824221964
kable,17,26,0.007047013758493921,-8.16074328554335,-7.133838491748936,-7.782366524580727
kable,17,27,0.0019484644278150059,-8.570225401158083,-7.399197327043613,-8.23839384964052
kable,17,28,0.01805334376007374,-7.1513511027841785,-5.39658267147959,-6.819938924312847
kable,17,29,0.03552436485296375,-7.002640954623937,-5.0110529661559005,-6.652377148698056
kable,17,30,0.1295947125682174,-5.972072724431018,-4.127337245363699,-5.754645775133849
kable,18,18,0.10743605506070462,-6.28537975677264,-6.29027716969504,-6.592732541399369
kable,18,19,0.07481949862644666,-7.193813011422303,-6.863847401133147,-7.5283586569709
kable,18,20,0.27937024541279837,-5.067081936034854,-3.369786318885644,-5.175459268559453
kable,18,21,0.3432089448882194,-4.353696789133543,-2.7970871142165885,-4.649524417917358
kable,18,22,0.07389828162735763,-5.454946798530436,-2.2554113544757537,-5.313594601240565
kable,18,23,0.1080978035754074,-5.1641550673675205,-0.718105187580374,-5.173004659833551
kable,18,24,0.10818461134616975,-5.24208757611884,-0.3223924662586354,-5.202842011850246
kable,18,25,0.07859791576643271,-5.939898666028381,-0.4803107643519142,-5.6489492919750575
kable,18,26,0.07230956795364028,-5.7315680945026655,-0.7171184037670627,-5.487446792362432
kable,18,27,0.033211646925783864,-6.259564007370694,-1.0241084212885647,-6.136890182257927
kable,18,28,0.010277477237595763,-6.8845236664155705,-1.6925314394235325,-6.878638716425614
kable,18,29,0.003909338319626243,-7.3571866169355395,-2.2826884613546885,-7.526737581190036
kable,18,30,0.005586464738642767,-6.829089647345673,-2.4464991242939607,-6.826087467248917
kable,19,18,0.074595795404235,-6.091140638021257,-5.3857586826055,-6.348287608782097
kable,19,19,0.061635484474636154,-7.092049993462625,-5.905631715227833,-7.295432586051553
kable,19,20,0.2994913001799526,-4.426179833231252,-1.26934896426464,-4.47779002471232
kable,19,21,0.31718826282277157,-4.298786988282419,-1.1183484910917079,-4.11383734301029
kable,19,22,0.07348836777196467,-5.485000048643309,-1.055911056232103,-4.630517269586847
kable,19,23,0.03360639629082229,-5.736690832074031,-0.043709409059662196,-5.38911218200381
kable,19,24,0.010642677318075267,-6.185289800387344,-0.0066062077441010406,-6.011852945376357
kable,19,25,0.012400645033006535,-6.447173722206704,-0.00812445260849386,-6.012151701675168
kable,19,26,0.024029222942788954,-5.83031109120004,-0.01753095585289407,-5.48593008063546
kable,19,27,0.07957087100298196,-4.995667220233524,-0.14640386576375722,-5.045291985036093
kable,19,28,0.03749632197560809,-5.820026806635442,-0.8794522520604507,-6.0617327021081735
kable,19,29,0.015672669915510074,-6.554292178946049,-1.3764474316525426,-6.907182411709718
kable,19,30,0.010707585223278145,-6.1009520699973425,-1.7467003550585578,-6.344196869073506
conflict,0,18,0.2189671222834057,-4.003378033245711,-4.795421602262727,-3.129607368920743
conflict,0,19,0.3007589661668758,-2.618411770264299,-4.025894834695329,-1.3663312605960705
conflict,0,20,0.20882663885892744,-3.4707880341080863,-4.663217791730915,-2.074787795640372
conflict,0,21,0.21634283297648757,-3.801730244698232,-4.660181852680518,-2.4425988000386427
conflict,0,22,0.23903601177951594,-3.6184269041990316,-3.9083247682916245,-1.001163474652906
conflict,0,23,0.24589793286915465,-3.39631854043214,-3.9704643040826575,-0.2393537871413583
conflict,0,24,0.23943049484833076,-3.2040768370487323,-3.7266753687683867,-0.2168769504651647
conflict,0,25,0.22687484382160528,-3.6846903063608263,-4.21462274431527,-0.21776177526543097
conflict,0,26,0.26185733904272124,-3.427374302021996,-3.745741947031467,-0.39394308442449855
conflict,0,27,0.1962670341729543,-3.633462629003865,-3.9609281303321193,-0.698251060424391
conflict,0,28,0.09289203010900982,-4.497360242726698,-3.9425475703150905,-2.1392391658639047
conflict,0,29,0.04069818140179153,-5.5196555209689935,-4.210169870168476,-3.42992625876442
conflict,0,30,0.07002776917717854,-5.474677534476228,-3.9352432152826347,-3.6445082631519994
conflict,1,18,0.19491069874076866,-4.853300923807743,-5.6517970985466865,-4.3632282095839585
conflict,1,19,0.21171089085763775,-3.4114980872471903,-5.08907555362319,-2.3924451081915312
conflict,1,20,0.17373706856527485,-4.267775582830284,-5.733022614602211,-3.284101964979851
conflict,1,21,0.14608382271462406,-5.0282965308927245,-6.100967083122906,-4.139060371070203
conflict,1,22,0.17952988948632054,-3.8040578732084276,-4.87048154681642,-2.463477552301564
conflict,1,23,0.22638645174939884,-2.815417727110558,-4.552133211082294,-0.4745052698830066
conflict,1,24,0.24483069437506172,-2.5008461459574582,-4.278324479014884,-0.727822544526321
conflict,1,25,0.2515139139052115,-2.9256664440805333,-4.384322538924282,-0.6071149270998866
conflict,1,26,0.25776200060787424,-2.24935009794091,-4.248780895746704,-0.5569125072839476
conflict,1,27,0.16139835059911248,-2.7429064432872026,-4.309667167951296,-0.9607171689986123
conflict,1,28,0.13800697668472475,-3.6058521885001507,-4.2588179901818215,-2.142225601505055
conflict,1,29,0.049348168876823154,-4.602291889296788,-4.330160120490601,-3.3816997439001937
conflict,1,30,0.07369687531597578,-4.77382909369653,-3.856762299177825,-3.7526114177636316
conflict,2,18,0.24429923428658495,-3.95616231517818,-4.724952101694087,-4.022036256278786
conflict,2,19,0.2587833114001245,-3.7984441434404803,-4.863349273613794,-3.783518945617653
conflict,2,20,0.29120477586228444,-2.9939396416539985,-4.019773603420423,-2.9828789683480936
conflict,2,21,0.2650585171344227,-3.4181226655577084,-3.8451876785130366,-3.004607259733662
conflict,2,22,0.1338110310567899,-3.098027381202447,-3.730738684684527,-1.7235728760312397
conflict,2,23,0.0961251157662413,-3.0513732327563963,-3.5195341691990865,-1.503116897543055
