cond,item,layer,ent,log_T,log_I,log_F
agree,0,18,0.29569517314156485,-2.2789972618349537,-4.46300484278469,-3.6897816574086235
agree,0,19,0.3144454213159863,-1.1787374176843477,-4.331932163452528,-2.5864263025959184
agree,0,20,0.30813357705982536,-0.9035703337001922,-4.282451505588278,-2.9365244849133743
agree,0,21,0.27194266316293886,-1.4229783754957002,-4.401107211443052,-3.3956041873675185
agree,0,22,0.12566047615145112,-1.4445763723544596,-4.522216982114877,-3.072347900779834
agree,0,23,0.18572308558001124,-0.6300506124524772,-4.740498605498548,-2.933717682631852
agree,0,24,0.15893417489546316,-0.17968666081084253,-4.959431676762256,-2.983088162414327
agree,0,25,0.20732419076726494,-0.3620576954240196,-5.091242528682199,-3.0131613744239063
agree,0,26,0.2066368106412747,-0.28303035958308914,-4.857864940415188,-2.756497452126159
agree,0,27,0.07869183916421478,-1.1524914193806095,-5.1115218269778175,-2.9758738284313906
agree,0,28,0.02833365909165612,-2.4387188083562803,-4.894963103690687,-3.945543887659095
agree,0,29,0.00982448516990588,-3.6756709878990677,-5.104024485247431,-4.913306621473239
agree,0,30,0.02537353426080644,-3.695403980507879,-4.60311202240231,-4.789769506539536
agree,1,18,0.28471636041642334,-2.4393622230207805,-4.793421739687661,-3.4865818278913414
agree,1,19,0.31240585134226423,-0.9765521607144358,-4.577226208072131,-1.9136739288749687
agree,1,20,0.30470876771786454,-0.9571346109688829,-4.480861071048376,-1.8855832644614412
agree,1,21,0.2628809337449252,-1.4635502453517626,-4.494210845241024,-1.914760839043574
agree,1,22,0.16815647853724047,-0.7241751389168114,-5.215662805861773,-1.147011457417547
agree,1,23,0.17601794610074686,-0.15842901377318713,-5.988249778537023,-0.9065417386662539
agree,1,24,0.21498189133935322,-0.26375483683495027,-5.743387826827657,-0.9213134673128256
agree,1,25,0.22855422776085968,-0.34571541721561594,-6.143908151363738,-0.5874657900537299
agree,1,26,0.20883182083949473,-0.19696020607661954,-6.4389363011383285,-0.6843762786418812
agree,1,27,0.21202904527194852,-0.4679617308237299,-5.744908476953669,-0.7917084196452457
agree,1,28,0.08645899468139653,-1.1848762558244215,-5.271602853289216,-1.5723461688644824
agree,1,29,0.013034989027329628,-2.733169552399923,-5.422358365847155,-3.0019423762980395
agree,1,30,0.018997632568012568,-3.779987521869852,-4.999799715048159,-3.784056014704565
agree,2,18,0.23251222451815298,-3.453676498095579,-4.483252909432317,-4.386158627912134
agree,2,19,0.17578168617191983,-3.137474774349086,-4.876892898371876,-4.196620612299703
agree,2,20,0.2836972375715237,-1.6213313689833668,-4.017956978732354,-3.2274802693925118
agree,2,21,0.20979772282471626,-2.371134606178086,-4.131091882293464,-3.535326654035296
agree,2,22,0.0558737122538228,-2.234673250131719,-4.527512149395034,-3.160772863784639
agree,2,23,0.07153148397520193,-1.798984439018922,-4.502350811433397,-3.162584435115786
agree,2,24,0.1079233243704548,-1.6461990874393189,-4.621122441467514,-2.991829851796677
agree,2,25,0.08293565093857484,-1.5160930787533795,-4.883320179358439,-3.054725913954935
agree,2,26,0.1020206838464239,-1.058608366728449,-4.836817226745586,-2.8714322762595907
agree,2,27,0.024407329993385126,-2.246812540023403,-5.532410571384431,-3.5717678185331634
agree,2,28,0.025224768235353925,-2.904802611151113,-5.358434801901413,-4.12112485424114
agree,2,29,0.012461023503343192,-3.834208547932219,-5.4838622432097495,-4.929111456741801
agree,2,30,0.05779802634309412,-3.5674505414280695,-4.652373349652826,-4.459402202417267
agree,3,18,0.2481336695961294,-2.8917041542077837,-5.54135003775104,-4.515516815220332
agree,3,19,0.29904812568632594,-1.4878558325719329,-5.080237375995023,-3.2286729039032007
agree,3,20,0.20352268982310368,-1.8036420367768264,-5.871419777605568,-3.897002404080802
agree,3,21,0.1970060421794112,-2.0831524516759354,-5.785015422770496,-3.7808055172998323
agree,3,22,0.1779813409601298,-0.8807282028630274,-5.580519508674788,-3.014776421342855
agree,3,23,0.11750207150517894,-0.040960557948729194,-6.803245818029969,-3.88138458758783
agree,3,24,0.14870757463096484,-0.06841949030157543,-6.455807624242704,-3.5986471129670314
agree,3,25,0.14913115356103895,-0.05706736796288084,-6.849283816832095,-3.5514869811630305
agree,3,26,0.1270740820651656,-0.024166148590621925,-7.347428769267451,-3.604466282523663
agree,3,27,0.16325739572388676,-0.19673118355681257,-6.239972494772056,-3.3011674139956395
agree,3,28,0.1519537687797795,-0.8934509584822736,-5.701441486371968,-3.847795852091407
agree,3,29,0.04525732149180113,-1.999605427942604,-5.651568171204422,-4.669312215709003
agree,3,30,0.02045406659148963,-3.294909861365879,-5.2209301993916295,-5.372931297123479
agree,4,18,0.1767939380944377,-3.0505559319420463,-6.113903501633521,-5.086561126990309
agree,4,19,0.25607866300937215,-0.9721102229497613,-4.913498215498073,-3.04031754162739
agree,4,20,0.2146011309227814,-1.307659148837029,-5.549978867005726,-3.657953764534314
agree,4,21,0.20764639480342642,-1.8900058157481034,-5.831484004083412,-3.633761954363602
agree,4,22,0.1493895040810991,-1.0133869001607236,-6.180150175682608,-2.7743474804396246
agree,4,23,0.08847205018788264,-0.026042908854012586,-7.9065960757780065,-4.191002493602968
agree,4,24,0.1168678066800034,-0.04278828656224988,-7.283811939826727,-3.8016485419124395
agree,4,25,0.13832026579505846,-0.06647636856519397,-7.281361410956207,-3.639026541548926
agree,4,26,0.11180180651482119,-0.02269560087408548,-7.976494352258725,-3.777978869411338
agree,4,27,0.13726797827452816,-0.09501544158327452,-6.750433712408167,-3.493616418836123
agree,4,28,0.13461555273238174,-0.4998273564801015,-6.007575316796347,-3.6560542403378635
agree,4,29,0.023690501343569238,-1.922500376360187,-6.093530223553376,-4.6767751213989825
agree,4,30,0.013121973129375176,-3.1619115914144675,-5.68855221595648,-5.323023307679403
agree,5,18,0.19439850794299396,-2.2198853514417993,-4.384597320005658,-4.472120012798825
agree,5,19,0.14849547808559788,-1.4025282302320607,-4.739120387356558,-4.43759674015582
agree,5,20,0.20525556331732484,-0.2762640408032041,-4.087888162103827,-3.753213204671621
agree,5,21,0.28699148019570947,-0.5664055533187597,-3.7940455105231936,-3.255815361379893
agree,5,22,0.24997317673491296,-0.7184851978748356,-3.932996428750743,-2.6736783368652564
agree,5,23,0.25146098093334274,-0.3169631987609695,-4.524617216955266,-3.4011627927095467
agree,5,24,0.2573628921415901,-0.46546006424649633,-4.75802376735793,-3.3387684895136847
agree,5,25,0.2649691567584179,-0.5225569121386119,-4.805682209386457,-3.604110044205142
agree,5,26,0.24505891263774912,-0.3086936879747397,-5.230642240525283,-3.588769919591995
agree,5,27,0.20217159394904718,-0.7875318232698161,-4.942269107920691,-3.498176255828195
agree,5,28,0.07798173509381097,-1.853437422759448,-5.128142670878613,-4.294752826315663
agree,5,29,0.027467860495856138,-3.1217264230444086,-5.524346304806789,-5.350678271788006
agree,5,30,0.03739605544976126,-3.7484776593269196,-5.235236470279626,-5.473394301095913
agree,6,18,0.25044391168814933,-2.8418429787630797,-5.629757645367838,-4.722096868779033
agree,6,19,0.2999003311793971,-0.9367225536814568,-4.552931534181378,-2.6085990812525512
agree,6,20,0.24890674432668605,-1.1998510031762704,-4.844685789036026,-3.0601235609247524
agree,6,21,0.21688594292498042,-2.1752322193434788,-5.397675339543742,-3.610072999113784
agree,6,22,0.24211685276693262,-1.673547901822577,-5.186155498576405,-2.4482678626030516
agree,6,23,0.23591711202371063,-0.4120256460084649,-5.715359672002868,-2.5965496848583682
agree,6,24,0.23019536100651927,-0.22814614862286342,-5.6594220543270115,-2.2343993244011564
agree,6,25,0.2239844886013379,-0.20945447148223817,-5.718109074677612,-2.132189274669065
agree,6,26,0.1746518032905246,-0.10364848906395949,-6.0243097813015645,-2.2166999025794905
agree,6,27,0.1906900331462758,-0.5215389544526896,-5.476899504712109,-2.094196818269058
agree,6,28,0.13737558114138185,-1.5842409124210637,-5.4171499392315425,-2.9789634777879614
agree,6,29,0.0396671424006522,-3.1039548328751736,-5.664832065606628,-4.201621424763272
agree,6,30,0.06785903833781688,-3.7872998097912447,-5.2545970906020045,-4.428493205922899
agree,7,18,0.23897760893927056,-2.788089512993908,-5.534264656645887,-4.339055664716405
agree,7,19,0.3181477736986268,-0.92064366420082,-4.932358379864252,-2.6897210506743328
agree,7,20,0.28108703557474035,-1.1296807215388451,-5.079303447345125,-3.0095248975086406
agree,7,21,0.2659931928885962,-1.5558887295178006,-5.157281546730542,-3.16139438091588
agree,7,22,0.19634077183717474,-0.608046605161444,-5.000238210943047,-2.439938002273344
agree,7,23,0.09360669240306077,-0.03777623934279634,-6.531105966885282,-3.466192869337722
agree,7,24,0.13831935415032903,-0.07559387395974797,-6.07464305408773,-3.1280051212350437
agree,7,25,0.15259577778702504,-0.09089559660080136,-6.2686897803053325,-3.1239744053606477
agree,7,26,0.09789547225323252,-0.02815907038045373,-6.814850793675249,-3.216490941726948
agree,7,27,0.1544652924317973,-0.13178892545142923,-5.557864572025668,-2.7864415522287125
agree,7,28,0.16362266777631856,-0.7130113903824105,-4.812527346496221,-3.0669636932935607
agree,7,29,0.042111211539887415,-2.200176828020532,-4.942188676991318,-4.192101767647227
agree,7,30,0.06538981500124463,-3.302723138700874,-4.536839555371141,-4.678122393445919
