cond,layer,T,I,F,H,H_pos
conflict,22,0.8636044627242532,0.356069926374141,0.9384529955463685,1.160984246302308,0.95
conflict,23,0.775603101359424,0.2635553497317664,0.8218134827049788,0.9534267074950084,0.9
conflict,24,0.7221176966161934,0.35610964279009555,0.8108043658472193,0.9505079057631158,0.9
conflict,25,0.7142814984052324,0.3868002401555265,0.8203396024083031,1.000131372447537,0.9
conflict,26,0.6441871323401809,0.38096406887680306,0.7307825419692147,0.8296361409624712,0.85
conflict,27,0.649030749802092,0.27924808545800384,0.7470991105871776,0.8253779458472735,0.85
conflict,28,0.6987121845943706,0.2532156933402872,0.7816403212132034,0.8606939006880376,0.8
conflict,29,0.8323361990912966,0.3652407438279891,0.8835830154269765,1.1584076852880196,0.9
conflict,30,0.7827233940942464,0.4041621332844666,0.8602273945536851,1.1471129219323979,0.9
kable,22,0.5319968028370552,0.6586308361165568,0.5378300506546787,0.8517301553657258,0.75
kable,23,0.4732924020486736,0.6592391546465073,0.4579573140408346,0.6989625534279362,0.75
kable,24,0.37546097354093755,0.6299112732688964,0.39926682283292503,0.5364585704634672,0.8
kable,25,0.44920836085256743,0.6689447792307863,0.4959175768454237,0.7054938991732103,0.85
kable,26,0.38338715486499164,0.585214886308075,0.44857673519606706,0.5728159418310648,0.8
kable,27,0.4328487790604097,0.6645412202867411,0.47372698097258104,0.7044397764810499,0.8
kable,28,0.3437415888820906,0.6964858643016727,0.36144046084327486,0.5538519317943531,0.7
kable,29,0.3604292216270148,0.7326224895010218,0.48843508797772994,0.7038279012898262,0.75
kable,30,0.4089324684537302,0.7433099231272069,0.5659615338332205,0.7847030457062318,0.75
